mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s5_0train_run0,CSP+linearSVM,109,20,0.12674829999741632,0.6,0.6,0.6,0.19999999999999996
within_session,within_s5_0train_run1,CSP+LDA,106,23,0.12148430000524968,0.5113636363636364,0.5217391304347826,0.486815415821501,0.02316602316602312
within_session,within_s5_0train_run1,CSP+linearSVM,106,23,0.12645460000203457,0.5113636363636364,0.5217391304347826,0.486815415821501,0.02316602316602312
within_session,within_s5_0train_run2,CSP+LDA,107,22,0.12528219999512658,0.7272727272727273,0.7272727272727273,0.725,0.4545454545454546
within_session,within_s5_0train_run2,CSP+linearSVM,107,22,0.1198409999924479,0.6818181818181818,0.6818181818181818,0.6644880174291938,0.36363636363636365
within_session,within_s5_0train_run3,CSP+LDA,109,20,0.12217170000076294,0.6,0.6,0.6,0.19999999999999996
within_session,within_s5_0train_run3,CSP+linearSVM,109,20,0.1208933000016259,0.6,0.6,0.6,0.19999999999999996
within_session,within_s5_0train_run4,CSP+LDA,109,20,0.11982190000708215,0.5151515151515151,0.5,0.4949494949494949,0.029126213592233108
within_session,within_s5_0train_run4,CSP+linearSVM,109,20,0.11776499998813961,0.46969696969696967,0.45,0.4373401534526854,-0.05769230769230771
within_session,within_s5_0train_run5,CSP+LDA,105,24,0.11634339999000076,0.5416666666666667,0.5416666666666666,0.5408695652173914,0.08333333333333337
within_session,within_s5_0train_run5,CSP+linearSVM,105,24,0.12211339999339543,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.16666666666666663
within_session,within_s5_1test_run0,CSP+LDA,115,20,0.1280581000028178,0.7525252525252526,0.75,0.7493734335839599,0.5
within_session,within_s5_1test_run0,CSP+linearSVM,115,20,0.1251269000058528,0.7424242424242424,0.75,0.7442455242966752,0.4897959183673469
within_session,within_s5_1test_run1,CSP+LDA,114,21,0.13263749999168795,0.6636363636363636,0.6666666666666666,0.6636155606407322,0.3287671232876712
within_session,within_s5_1test_run1,CSP+linearSVM,114,21,0.1329016999952728,0.6636363636363636,0.6666666666666666,0.6636155606407322,0.3287671232876712
within_session,within_s5_1test_run2,CSP+LDA,112,23,0.12918460000946652,0.6439393939393939,0.6521739130434783,0.6349206349206349,0.2923076923076924
within_session,within_s5_1test_run2,CSP+linearSVM,112,23,0.12350049999076873,0.6401515151515151,0.6521739130434783,0.6166666666666667,0.28682170542635643
within_session,within_s5_1test_run3,CSP+LDA,111,24,0.12494150000566151,0.6666666666666667,0.6666666666666666,0.6643356643356644,0.33333333333333337
within_session,within_s5_1test_run3,CSP+linearSVM,111,24,0.1230515000061132,0.6666666666666667,0.6666666666666666,0.6643356643356644,0.33333333333333337
within_session,within_s5_1test_run4,CSP+LDA,112,23,0.1377298999868799,0.5189393939393939,0.5217391304347826,0.5180952380952382,0.03802281368821292
within_session,within_s5_1test_run4,CSP+linearSVM,112,23,0.1356995999958599,0.5606060606060606,0.5652173913043478,0.5576923076923077,0.12213740458015276
within_session,within_s5_1test_run5,CSP+LDA,111,24,0.13040539999201428,0.4583333333333333,0.4583333333333333,0.4337568058076225,-0.08333333333333326
within_session,within_s5_1test_run5,CSP+linearSVM,111,24,0.12496410000312608,0.5,0.5,0.4857142857142857,0.0
within_session,within_s6_0train_run0,CSP+LDA,91,22,0.10309109999798238,0.5916666666666667,0.5909090909090909,0.5900621118012422,0.18181818181818177
within_session,within_s6_0train_run0,CSP+linearSVM,91,22,0.10440289998950902,0.5916666666666667,0.5909090909090909,0.5900621118012422,0.18181818181818177
within_session,within_s6_0train_run1,CSP+LDA,96,17,0.12079760000051465,0.7708333333333333,0.7647058823529411,0.7638888888888888,0.5342465753424657
within_session,within_s6_0train_run1,CSP+linearSVM,96,17,0.11319640000874642,0.7708333333333333,0.7647058823529411,0.7638888888888888,0.5342465753424657
within_session,within_s6_0train_run2,CSP+LDA,93,20,0.1022716000006767,0.6616161616161615,0.65,0.6491228070175439,0.3137254901960784
within_session,within_s6_0train_run2,CSP+linearSVM,93,20,0.10488769999938086,0.6161616161616161,0.6,0.595959595959596,0.22330097087378642
within_session,within_s6_0train_run3,CSP+LDA,95,18,0.10505410000041593,0.7222222222222222,0.7222222222222222,0.7142857142857142,0.4444444444444444
