fold,subject,seed,stratum,true_label,predicted_label,count,condition,condition_name,fixed_epochs,normalization,model
loso_s3,3,20260924,flagged,2,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,2,2,6,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,2,3,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,2,4,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,3,1,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,3,2,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,3,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,3,4,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,4,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,4,2,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,4,3,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,4,4,8,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,1,1,83,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,1,2,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,1,3,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,1,4,53,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,2,1,14,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,2,2,87,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,2,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,2,4,39,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,3,1,12,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,3,2,17,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,3,3,56,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,3,4,59,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,4,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,4,2,2,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,4,3,8,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,all,4,4,134,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,1,1,80,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,1,2,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,1,3,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,1,4,48,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,2,1,13,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,2,2,84,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,2,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,2,4,37,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,3,1,11,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,3,2,15,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,3,3,52,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,3,4,56,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,4,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,4,2,2,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,4,3,8,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,unflagged,4,4,125,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,1,1,3,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,1,2,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,1,3,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,1,4,5,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,2,1,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,2,2,3,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,2,3,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,2,4,2,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,3,1,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,3,2,2,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,3,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,3,4,3,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,4,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,4,2,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,4,3,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260925,flagged,4,4,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,1,1,120,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,1,2,6,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,1,3,10,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,1,4,8,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,2,1,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,2,2,121,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,2,3,5,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,2,4,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,3,1,16,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,3,2,27,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,3,3,83,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,3,4,18,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,4,1,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,4,2,5,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,4,3,34,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,all,4,4,98,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,1,1,113,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,1,2,6,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,1,3,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,1,4,8,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,2,1,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,2,2,115,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,2,3,5,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,2,4,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,3,1,15,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,3,2,22,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,3,3,80,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,3,4,17,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,4,1,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,4,2,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,4,3,30,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,unflagged,4,4,94,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,1,1,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,1,2,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,1,3,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,1,4,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,2,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,2,2,6,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,2,3,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,2,4,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,3,1,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,3,2,5,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,3,3,3,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,3,4,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,4,1,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,4,2,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,4,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260926,flagged,4,4,4,C,Raw_plus_16epochs,16,False,EEGNet
