contrast,subject,mean_seed_paired_delta_ba,delta_seed_20260924,delta_seed_20260925,delta_seed_20260926
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,4,-0.030671296296296297,-0.029513888888888895,-0.046875,-0.015625
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,5,-0.012731481481481474,-0.001736111111111105,-0.02777777777777779,-0.008680555555555525
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,6,-0.0011574074074074125,-0.01736111111111116,-0.015625,0.029513888888888923
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,7,0.006944444444444438,0.008680555555555525,0.00868055555555558,0.00347222222222221
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,8,0.052662037037037014,0.11805555555555547,0.05555555555555558,-0.015625
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,9,-0.0005787037037037202,0.01909722222222221,-0.01736111111111105,-0.003472222222222321
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,1,0.030092592592592598,-0.02083333333333326,0.02430555555555558,0.08680555555555547
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,2,0.0011574074074074032,-0.008680555555555525,0.01909722222222221,-0.006944444444444475
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,3,-0.07175925925925923,-0.0017361111111111605,-0.13715277777777768,-0.07638888888888884
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,4,-0.020254629629629612,-0.01388888888888884,-0.00868055555555558,-0.03819444444444442
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,5,-0.010995370370370369,-0.015625,-0.01215277777777779,-0.005208333333333315
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,6,0.010995370370370378,0.008680555555555525,0.01215277777777779,0.012152777777777818
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,7,-0.01215277777777779,-0.013888888888888895,-0.01215277777777779,-0.010416666666666685
