condition,subject,seed,balanced_accuracy,accuracy,n_trials,n_classes_present,zero_recall_count,zero_recall_classes,dominant_prediction_share,prediction_entropy_bits,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q5-E001,7,20260924,0.2934027777777778,0.2934027777777778,576,4,0,,0.5069444444444444,1.411828454052174,0.5625,0.4305555555555556,0.05555555555555555,0.125
Q5-E001,7,20260925,0.2777777777777778,0.2777777777777778,576,4,0,,0.6770833333333334,1.2793576915442404,0.22916666666666666,0.7430555555555556,0.034722222222222224,0.10416666666666667
Q5-E001,7,20260926,0.2829861111111111,0.2829861111111111,576,4,0,,0.46875,1.3505685323969718,0.5277777777777778,0.4791666666666667,0.034722222222222224,0.09027777777777778
Q5-E001,8,20260924,0.2829861111111111,0.2829861111111111,576,4,0,,0.5642361111111112,1.224573132192871,0.4513888888888889,0.5694444444444444,0.013888888888888888,0.09722222222222222
Q5-E001,8,20260925,0.2864583333333333,0.2864583333333333,576,4,0,,0.7482638888888888,1.1546377234458496,0.8680555555555556,0.09027777777777778,0.09722222222222222,0.09027777777777778
Q5-E001,8,20260926,0.3211805555555555,0.3211805555555556,576,4,0,,0.4809027777777778,1.5087519314725486,0.5347222222222222,0.5138888888888888,0.08333333333333333,0.1527777777777778
Q5-E001,9,20260924,0.4791666666666667,0.4791666666666667,576,4,0,,0.5902777777777778,1.5461180597462152,0.3888888888888889,0.4513888888888889,0.11805555555555555,0.9583333333333334
Q5-E001,9,20260925,0.5052083333333334,0.5052083333333334,576,4,0,,0.4027777777777778,1.8888371990909014,0.4305555555555556,0.4652777777777778,0.3055555555555556,0.8194444444444444
Q5-E001,9,20260926,0.4652777777777778,0.4652777777777778,576,4,0,,0.609375,1.5655622403523695,0.4652777777777778,0.3194444444444444,0.10416666666666667,0.9722222222222222
Q6-E001,1,20260924,0.5173611111111112,0.5173611111111112,576,4,0,,0.5017361111111112,1.5470142765224824,0.9097222222222222,0.4444444444444444,0.6736111111111112,0.041666666666666664
Q6-E001,1,20260925,0.5850694444444444,0.5850694444444444,576,4,0,,0.3975694444444444,1.8609228338751556,0.8194444444444444,0.7708333333333334,0.5277777777777778,0.2222222222222222
Q6-E001,1,20260926,0.6041666666666666,0.6041666666666666,576,4,0,,0.3524305555555556,1.7933742422342642,0.7291666666666666,0.9791666666666666,0.5347222222222222,0.1736111111111111
Q6-E001,2,20260924,0.24131944444444445,0.24131944444444445,576,4,2,3;4,0.9618055555555556,0.2339516410234393,0.9375,0.027777777777777776,0.0,0.0
Q6-E001,2,20260925,0.25,0.25,576,4,3,2;3;4,0.9947916666666666,0.046999447831427066,1.0,0.0,0.0,0.0
Q6-E001,2,20260926,0.25,0.25,576,4,3,2;3;4,1.0,-0.0,1.0,0.0,0.0,0.0
Q6-E001,3,20260924,0.6440972222222222,0.6440972222222222,576,4,0,,0.4184027777777778,1.8207920475543868,0.7222222222222222,0.7291666666666666,0.25,0.875
Q6-E001,3,20260925,0.5694444444444444,0.5694444444444444,576,4,0,,0.5920138888888888,1.6147461081153518,0.5555555555555556,0.3958333333333333,0.3958333333333333,0.9305555555555556
Q6-E001,3,20260926,0.7621527777777778,0.7621527777777778,576,4,0,,0.3055555555555556,1.9866455614378897,0.8333333333333334,0.9097222222222222,0.5763888888888888,0.7291666666666666
Q6-E001,4,20260924,0.3732638888888889,0.3732638888888889,576,4,0,,0.3993055555555556,1.776128241913869,0.5486111111111112,0.5972222222222222,0.2152777777777778,0.13194444444444445
Q6-E001,4,20260925,0.3559027777777778,0.3559027777777778,576,4,0,,0.4618055555555556,1.542680584727515,0.14583333333333334,0.7291666666666666,0.4930555555555556,0.05555555555555555
Q6-E001,4,20260926,0.3923611111111111,0.3923611111111111,576,4,0,,0.4635416666666667,1.538517496791109,0.020833333333333332,0.6875,0.5902777777777778,0.2708333333333333
Q6-E001,5,20260924,0.24131944444444445,0.24131944444444445,576,4,2,3;4,0.8993055555555556,0.4711930730759337,0.8819444444444444,0.08333333333333333,0.0,0.0
Q6-E001,5,20260925,0.23958333333333334,0.23958333333333334,576,4,2,3;4,0.9461805555555556,0.31347016362062324,0.027777777777777776,0.9305555555555556,0.0,0.0
Q6-E001,5,20260926,0.2586805555555555,0.2586805555555556,576,4,2,3;4,0.7291666666666666,0.8426578772022391,0.7638888888888888,0.2708333333333333,0.0,0.0
Q6-E001,6,20260924,0.2795138888888889,0.2795138888888889,576,4,0,,0.4444444444444444,1.4951881379706327,0.034722222222222224,0.24305555555555555,0.3402777777777778,0.5
Q6-E001,6,20260925,0.296875,0.296875,576,4,0,,0.6475694444444444,1.352908051068845,0.11805555555555555,0.13194444444444445,0.1875,0.75
Q6-E001,6,20260926,0.2725694444444444,0.2725694444444444,576,4,0,,0.7361111111111112,1.210084522153816,0.0763888888888889,0.18055555555555555,0.7013888888888888,0.13194444444444445
