condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q9-E001/MID_8_30,6,20260924,session,0train,288,4,0.28125,0.28125,0.05555555555555555,0.16666666666666666,0.7638888888888888,0.1388888888888889
Q9-E001/MID_8_30,6,20260924,session,1test,288,4,0.2847222222222222,0.2847222222222222,0.08333333333333333,0.19444444444444445,0.8055555555555556,0.05555555555555555
Q9-E001/MID_8_30,6,20260925,artifact,False,434,4,0.29337601029059124,0.2926267281105991,0.12844036697247707,0.14285714285714285,0.32038834951456313,0.5818181818181818
Q9-E001/MID_8_30,6,20260925,artifact,True,142,4,0.2300013450502152,0.2323943661971831,0.2,0.09375,0.24390243902439024,0.38235294117647056
Q9-E001/MID_8_30,6,20260925,session,0train,288,4,0.2847222222222222,0.2847222222222222,0.1388888888888889,0.1388888888888889,0.25,0.6111111111111112
Q9-E001/MID_8_30,6,20260925,session,1test,288,4,0.2708333333333333,0.2708333333333333,0.1527777777777778,0.125,0.3472222222222222,0.4583333333333333
Q9-E001/MID_8_30,6,20260926,artifact,False,434,4,0.30005506568117907,0.2995391705069124,0.027522935779816515,0.25892857142857145,0.3592233009708738,0.5545454545454546
Q9-E001/MID_8_30,6,20260926,artifact,True,142,4,0.2297403412584546,0.23943661971830985,0.05714285714285714,0.1875,0.43902439024390244,0.23529411764705882
Q9-E001/MID_8_30,6,20260926,session,0train,288,4,0.3125,0.3125,0.027777777777777776,0.2222222222222222,0.4722222222222222,0.5277777777777778
Q9-E001/MID_8_30,6,20260926,session,1test,288,4,0.2569444444444445,0.2569444444444444,0.041666666666666664,0.2638888888888889,0.2916666666666667,0.4305555555555556
Q9-E001/MID_8_30,7,20260924,artifact,False,548,4,0.3432026282073886,0.34306569343065696,0.6086956521739131,0.3925925925925926,0.10144927536231885,0.27007299270072993
Q9-E001/MID_8_30,7,20260924,artifact,True,28,4,0.46825396825396826,0.4642857142857143,0.8333333333333334,0.4444444444444444,0.16666666666666666,0.42857142857142855
Q9-E001/MID_8_30,7,20260924,session,0train,288,4,0.3506944444444445,0.3506944444444444,0.625,0.4305555555555556,0.1388888888888889,0.20833333333333334
