subject,model,seed,n_trials,balanced_accuracy,true_left_pred_left,true_left_pred_right,true_right_pred_left,true_right_pred_right,predicted_left_share
35,BROAD_EEGNET,20260925,45,0.5869565217391304,22,0,19,4,0.9111111111111111
35,BROAD_EEGNET,20260926,45,0.691699604743083,18,4,10,13,0.6222222222222222
35,CSP4_LDA,deterministic,45,0.5207509881422925,21,1,21,2,0.9333333333333333
35,MU_BETA_SHARED,20260924,45,0.5652173913043478,22,0,20,3,0.9333333333333333
35,MU_BETA_SHARED,20260925,45,0.6304347826086957,22,0,17,6,0.8666666666666667
35,MU_BETA_SHARED,20260926,45,0.6946640316205533,21,1,13,10,0.7555555555555555
36,BROAD_EEGNET,20260924,45,0.37845849802371545,8,15,13,9,0.4666666666666667
36,BROAD_EEGNET,20260925,45,0.4051383399209486,4,19,8,14,0.26666666666666666
36,BROAD_EEGNET,20260926,45,0.516798418972332,6,17,5,17,0.24444444444444444
36,CSP4_LDA,deterministic,45,0.47529644268774707,2,21,3,19,0.1111111111111111
36,MU_BETA_SHARED,20260924,45,0.37747035573122534,9,14,14,8,0.5111111111111111
36,MU_BETA_SHARED,20260925,45,0.4258893280632411,6,17,9,13,0.3333333333333333
36,MU_BETA_SHARED,20260926,45,0.37648221343873517,10,13,15,7,0.5555555555555556
37,BROAD_EEGNET,20260924,45,0.5,23,0,22,0,1.0
37,BROAD_EEGNET,20260925,45,0.5227272727272727,23,0,21,1,0.9777777777777777
37,BROAD_EEGNET,20260926,45,0.5454545454545454,23,0,20,2,0.9555555555555556
37,CSP4_LDA,deterministic,45,0.46047430830039526,17,6,18,4,0.7777777777777778
37,MU_BETA_SHARED,20260924,45,0.5,23,0,22,0,1.0
37,MU_BETA_SHARED,20260925,45,0.5,23,0,22,0,1.0
37,MU_BETA_SHARED,20260926,45,0.5,23,0,22,0,1.0
38,BROAD_EEGNET,20260924,45,0.5454545454545454,23,0,20,2,0.9555555555555556
38,BROAD_EEGNET,20260925,45,0.5316205533596838,14,9,12,10,0.5777777777777777
38,BROAD_EEGNET,20260926,45,0.616600790513834,20,3,14,8,0.7555555555555555
38,CSP4_LDA,deterministic,45,0.4150197628458498,17,6,20,2,0.8222222222222222
38,MU_BETA_SHARED,20260924,45,0.525691699604743,20,3,18,4,0.8444444444444444
38,MU_BETA_SHARED,20260925,45,0.5326086956521738,13,10,11,11,0.5333333333333333
38,MU_BETA_SHARED,20260926,45,0.616600790513834,20,3,14,8,0.7555555555555555
39,BROAD_EEGNET,20260924,45,0.4713438735177865,6,17,7,15,0.28888888888888886
39,BROAD_EEGNET,20260925,45,0.5385375494071146,7,16,5,17,0.26666666666666666
39,BROAD_EEGNET,20260926,45,0.5365612648221344,9,14,7,15,0.35555555555555557
39,CSP4_LDA,deterministic,45,0.5553359683794465,13,10,10,12,0.5111111111111111
39,MU_BETA_SHARED,20260924,45,0.5158102766798419,7,16,6,16,0.28888888888888886
39,MU_BETA_SHARED,20260925,45,0.516798418972332,6,17,5,17,0.24444444444444444
39,MU_BETA_SHARED,20260926,45,0.5187747035573123,4,19,3,19,0.15555555555555556
4,BROAD_EEGNET,20260924,45,0.5652173913043478,3,20,0,22,0.06666666666666667
4,BROAD_EEGNET,20260925,45,0.5652173913043478,3,20,0,22,0.06666666666666667
4,BROAD_EEGNET,20260926,45,0.5217391304347826,1,22,0,22,0.022222222222222223
4,CSP4_LDA,deterministic,45,0.48616600790513836,14,9,14,8,0.6222222222222222
4,MU_BETA_SHARED,20260924,45,0.5434782608695652,2,21,0,22,0.044444444444444446
4,MU_BETA_SHARED,20260925,45,0.5434782608695652,2,21,0,22,0.044444444444444446
4,MU_BETA_SHARED,20260926,45,0.5434782608695652,2,21,0,22,0.044444444444444446
40,BROAD_EEGNET,20260924,45,0.48511904761904756,9,12,11,13,0.4444444444444444
40,BROAD_EEGNET,20260925,45,0.4375,7,14,11,13,0.4
40,BROAD_EEGNET,20260926,45,0.47619047619047616,13,8,16,8,0.6444444444444445
