condition,subject,seed,balanced_accuracy,selected_epochs,zero_recall_classes,dominant_prediction_share,recall_class_1,recall_class_2,recall_class_3,recall_class_4
BROAD_CAPACITY_MATCHED,3,20260926,0.5555555555555556,9,0,0.5173611111111112,0.5138888888888888,0.25,0.5208333333333334,0.9375
BROAD_CAPACITY_MATCHED,4,20260924,0.3975694444444444,7,0,0.390625,0.4930555555555556,0.6319444444444444,0.125,0.3402777777777778
BROAD_CAPACITY_MATCHED,4,20260925,0.32812500000000006,7,0,0.7361111111111112,0.13194444444444445,0.9166666666666666,0.2222222222222222,0.041666666666666664
BROAD_CAPACITY_MATCHED,4,20260926,0.31770833333333337,7,0,0.6684027777777778,0.19444444444444445,0.3541666666666667,0.7083333333333334,0.013888888888888888
BROAD_CAPACITY_MATCHED,5,20260924,0.2638888888888889,16,2,0.8489583333333334,0.8819444444444444,0.1736111111111111,0.0,0.0
BROAD_CAPACITY_MATCHED,5,20260925,0.234375,16,2,0.7239583333333334,0.2152777777777778,0.7222222222222222,0.0,0.0
BROAD_CAPACITY_MATCHED,5,20260926,0.26041666666666663,16,2,0.5034722222222222,0.5347222222222222,0.5069444444444444,0.0,0.0
BROAD_CAPACITY_MATCHED,6,20260924,0.28298611111111116,13,0,0.609375,0.1388888888888889,0.13194444444444445,0.5833333333333334,0.2777777777777778
BROAD_CAPACITY_MATCHED,6,20260925,0.3159722222222222,13,0,0.53125,0.1111111111111111,0.2986111111111111,0.5138888888888888,0.3402777777777778
BROAD_CAPACITY_MATCHED,6,20260926,0.3420138888888889,13,0,0.4079861111111111,0.1875,0.2708333333333333,0.4236111111111111,0.4861111111111111
BROAD_CAPACITY_MATCHED,7,20260924,0.3524305555555556,13,0,0.6840277777777778,0.8055555555555556,0.2361111111111111,0.041666666666666664,0.3263888888888889
BROAD_CAPACITY_MATCHED,7,20260925,0.2847222222222222,13,0,0.6232638888888888,0.3333333333333333,0.6944444444444444,0.041666666666666664,0.06944444444444445
BROAD_CAPACITY_MATCHED,7,20260926,0.3194444444444444,13,0,0.5642361111111112,0.6458333333333334,0.2847222222222222,0.1597222222222222,0.1875
BROAD_CAPACITY_MATCHED,8,20260924,0.623263888888889,9,0,0.375,0.6736111111111112,0.8958333333333334,0.3611111111111111,0.5625
BROAD_CAPACITY_MATCHED,8,20260925,0.5642361111111112,9,0,0.5451388888888888,0.5069444444444444,0.9444444444444444,0.2847222222222222,0.5208333333333334
BROAD_CAPACITY_MATCHED,8,20260926,0.6388888888888888,9,0,0.4010416666666667,0.5,0.8263888888888888,0.4166666666666667,0.8125
BROAD_CAPACITY_MATCHED,9,20260924,0.5329861111111112,7,0,0.4097222222222222,0.4861111111111111,0.6111111111111112,0.19444444444444445,0.8402777777777778
BROAD_CAPACITY_MATCHED,9,20260925,0.5451388888888888,7,0,0.3038194444444444,0.6388888888888888,0.5763888888888888,0.5486111111111112,0.4166666666666667
BROAD_CAPACITY_MATCHED,9,20260926,0.5,7,0,0.4930555555555556,0.2569444444444444,0.5416666666666666,0.2986111111111111,0.9027777777777778
