training_policy,model,subject,test_stratum,n_test,n_left,n_right,balanced_accuracy,accuracy,macro_f1,cohen_kappa
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,6,flagged,67,35,32,0.5986607142857143,0.582089552238806,0.5262626262626262,0.19068162208800699
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,6,all,288,144,144,0.5902777777777778,0.5902777777777778,0.5288376220053239,0.18055555555555558
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,7,clean,273,138,135,0.6296296296296295,0.63003663003663,0.6293204275055455,0.2594472645234067
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,7,flagged,15,6,9,0.6666666666666666,0.6666666666666666,0.660633484162896,0.32432432432432434
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,7,all,288,144,144,0.6319444444444444,0.6319444444444444,0.631500168992323,0.26388888888888884
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,8,clean,266,132,134,0.8980664857530529,0.8984962406015038,0.8980799523181063,0.7968086912239009
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,8,flagged,22,12,10,0.8333333333333333,0.8181818181818182,0.8166666666666667,0.6451612903225807
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,8,all,288,144,144,0.8923611111111112,0.8923611111111112,0.8918905828075996,0.7847222222222222
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,9,clean,246,118,128,0.6043432203389831,0.5975609756097561,0.5892462599720025,0.20562332833191987
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,9,flagged,42,26,16,0.5264423076923077,0.5476190476190477,0.5258467023172906,0.052256532066508266
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,9,all,288,144,144,0.5902777777777778,0.5902777777777778,0.5804858779379815,0.18055555555555558
expert_clean_only,CSP4+shrinkageLDA,1,clean,279,140,139,0.5359969167523124,0.5376344086021505,0.4143710236425468,0.07222952594540266
expert_clean_only,CSP4+shrinkageLDA,1,flagged,9,4,5,0.5,0.4444444444444444,0.3076923076923077,0.0
expert_clean_only,CSP4+shrinkageLDA,1,all,288,144,144,0.5347222222222222,0.5347222222222222,0.41098901098901097,0.06944444444444442
expert_clean_only,CSP4+shrinkageLDA,2,clean,278,138,140,0.5057971014492754,0.5035971223021583,0.45372216210058663,0.011542821807688286
expert_clean_only,CSP4+shrinkageLDA,2,flagged,10,6,4,0.625,0.7,0.6000000000000001,0.2857142857142857
expert_clean_only,CSP4+shrinkageLDA,2,all,288,144,144,0.5104166666666666,0.5104166666666666,0.45872599069618647,0.02083333333333337
expert_clean_only,CSP4+shrinkageLDA,3,clean,274,136,138,0.720961210571185,0.718978102189781,0.6975067027972529,0.4401634559252773
expert_clean_only,CSP4+shrinkageLDA,3,flagged,14,8,6,0.6875,0.7142857142857143,0.6888888888888889,0.3913043478260869
expert_clean_only,CSP4+shrinkageLDA,3,all,288,144,144,0.71875,0.71875,0.6970979679283257,0.4375
expert_clean_only,CSP4+shrinkageLDA,4,clean,245,121,124,0.628465742468675,0.6285714285714286,0.6284723958072955,0.256957173804366
expert_clean_only,CSP4+shrinkageLDA,4,flagged,43,23,20,0.6576086956521738,0.6511627906976745,0.6504065040650406,0.31016042780748665
expert_clean_only,CSP4+shrinkageLDA,4,all,288,144,144,0.6319444444444444,0.6319444444444444,0.6317846287451151,0.26388888888888884
expert_clean_only,CSP4+shrinkageLDA,5,clean,264,133,131,0.5254261608219021,0.5265151515151515,0.5159515951595159,0.050960542965604594
expert_clean_only,CSP4+shrinkageLDA,5,flagged,24,11,13,0.19930069930069932,0.20833333333333334,0.19576719576719576,-0.6056338028169013
