fold,subject,model,stratum,true_label,predicted_label,count
loso_s2,2,FBCSP_LDA,all,2,1,32
loso_s2,2,FBCSP_LDA,all,2,2,41
loso_s2,2,FBCSP_LDA,all,2,3,69
loso_s2,2,FBCSP_LDA,all,2,4,2
loso_s2,2,FBCSP_LDA,all,3,1,50
loso_s2,2,FBCSP_LDA,all,3,2,17
loso_s2,2,FBCSP_LDA,all,3,3,73
loso_s2,2,FBCSP_LDA,all,3,4,4
loso_s2,2,FBCSP_LDA,all,4,1,50
loso_s2,2,FBCSP_LDA,all,4,2,31
loso_s2,2,FBCSP_LDA,all,4,3,51
loso_s2,2,FBCSP_LDA,all,4,4,12
loso_s2,2,FBCSP_LDA,unflagged,1,1,37
loso_s2,2,FBCSP_LDA,unflagged,1,2,30
loso_s2,2,FBCSP_LDA,unflagged,1,3,69
loso_s2,2,FBCSP_LDA,unflagged,1,4,2
loso_s2,2,FBCSP_LDA,unflagged,2,1,32
loso_s2,2,FBCSP_LDA,unflagged,2,2,40
loso_s2,2,FBCSP_LDA,unflagged,2,3,66
loso_s2,2,FBCSP_LDA,unflagged,2,4,2
loso_s2,2,FBCSP_LDA,unflagged,3,1,47
loso_s2,2,FBCSP_LDA,unflagged,3,2,16
loso_s2,2,FBCSP_LDA,unflagged,3,3,68
loso_s2,2,FBCSP_LDA,unflagged,3,4,4
loso_s2,2,FBCSP_LDA,unflagged,4,1,47
loso_s2,2,FBCSP_LDA,unflagged,4,2,30
loso_s2,2,FBCSP_LDA,unflagged,4,3,51
loso_s2,2,FBCSP_LDA,unflagged,4,4,12
loso_s2,2,FBCSP_LDA,flagged,1,1,1
loso_s2,2,FBCSP_LDA,flagged,1,2,2
loso_s2,2,FBCSP_LDA,flagged,1,3,3
loso_s2,2,FBCSP_LDA,flagged,1,4,0
loso_s2,2,FBCSP_LDA,flagged,2,1,0
loso_s2,2,FBCSP_LDA,flagged,2,2,1
loso_s2,2,FBCSP_LDA,flagged,2,3,3
loso_s2,2,FBCSP_LDA,flagged,2,4,0
loso_s2,2,FBCSP_LDA,flagged,3,1,3
loso_s2,2,FBCSP_LDA,flagged,3,2,1
loso_s2,2,FBCSP_LDA,flagged,3,3,5
loso_s2,2,FBCSP_LDA,flagged,3,4,0
loso_s2,2,FBCSP_LDA,flagged,4,1,3
loso_s2,2,FBCSP_LDA,flagged,4,2,1
loso_s2,2,FBCSP_LDA,flagged,4,3,0
loso_s2,2,FBCSP_LDA,flagged,4,4,0
loso_s2,2,FBCSP_MI8_LDA,all,1,1,48
loso_s2,2,FBCSP_MI8_LDA,all,1,2,75
loso_s2,2,FBCSP_MI8_LDA,all,1,3,16
loso_s2,2,FBCSP_MI8_LDA,all,1,4,5
loso_s2,2,FBCSP_MI8_LDA,all,2,1,37
loso_s2,2,FBCSP_MI8_LDA,all,2,2,84
loso_s2,2,FBCSP_MI8_LDA,all,2,3,12
