fold,subject,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s2,2,BroadCSP_SVM,all,4608,576,4,0.2934027777777778,0.2934027777777778,0.22763687946093578,0.30578699083734007,0.2934027777777778,0.05787037037037035
loso_s2,2,BroadCSP_SVM,unflagged,4608,553,4,0.2931418219461698,0.2911392405063291,0.2275414700688343,0.3059535578937458,0.2931418219461698,0.05721691630569037
loso_s2,2,BroadCSP_SVM,flagged,4608,23,4,0.29166666666666663,0.34782608695652173,0.21328671328671328,0.17094017094017094,0.29166666666666663,0.06756756756756743
loso_s2,2,FBCSP_LDA,all,4608,576,4,0.2847222222222222,0.2847222222222222,0.2636954643495547,0.3594610212711312,0.2847222222222222,0.04629629629629628
loso_s2,2,FBCSP_LDA,unflagged,4608,553,4,0.28581205429031514,0.28390596745027125,0.26449039299165594,0.35988449666766054,0.28581205429031514,0.04781616192360372
loso_s2,2,FBCSP_LDA,flagged,4608,23,4,0.24305555555555555,0.30434782608695654,0.21901709401709402,0.19935064935064933,0.24305555555555555,0.0
loso_s2,2,FBCSP_MI8_LDA,all,4608,576,4,0.2690972222222222,0.2690972222222222,0.22971355115675074,0.2592812660294617,0.2690972222222222,0.02546296296296291
loso_s2,2,FBCSP_MI8_LDA,unflagged,4608,553,4,0.2679635380722337,0.2694394213381555,0.2294087590443089,0.2593626571609509,0.2679635380722337,0.02465729503186931
loso_s2,2,FBCSP_MI8_LDA,flagged,4608,23,4,0.3125,0.2608695652173913,0.24285714285714285,0.21666666666666667,0.3125,0.05555555555555558
loso_s3,3,BroadCSP_LDA,all,4608,576,4,0.5694444444444444,0.5694444444444444,0.5491539072793629,0.6593021755016849,0.5694444444444444,0.42592592592592593
loso_s3,3,BroadCSP_LDA,unflagged,4608,543,4,0.5774142307077853,0.576427255985267,0.5559019262914702,0.6640451153091602,0.5774142307077853,0.4356070534431179
loso_s3,3,BroadCSP_LDA,flagged,4608,33,4,0.45138888888888884,0.45454545454545453,0.4469230769230769,0.5882352941176471,0.45138888888888884,0.2621118012422361
loso_s3,3,BroadCSP_SVM,all,4608,576,4,0.5347222222222222,0.5347222222222222,0.5069999829651347,0.6448700900163666,0.5347222222222222,0.37962962962962965
loso_s3,3,BroadCSP_SVM,unflagged,4608,543,4,0.5398222106998398,0.5395948434622467,0.5119547883712975,0.6503107223737941,0.5398222106998398,0.3863186351183965
loso_s3,3,BroadCSP_SVM,flagged,4608,33,4,0.4548611111111111,0.45454545454545453,0.42787524366471735,0.564327485380117,0.4548611111111111,0.26485148514851486
loso_s3,3,FBCSP_LDA,all,4608,576,4,0.4618055555555556,0.4618055555555556,0.4071613322741155,0.6401321565698261,0.4618055555555556,0.28240740740740744
loso_s3,3,FBCSP_LDA,unflagged,4608,543,4,0.4659399348101776,0.46593001841620624,0.4103662967302064,0.6382022589620955,0.4659399348101776,0.2881778854629533
loso_s3,3,FBCSP_LDA,flagged,4608,33,4,0.38263888888888886,0.3939393939393939,0.33415066906528007,0.6742424242424242,0.38263888888888886,0.17808219178082185
