fold,subject,seed,stratum,true_label,predicted_label,count,selection_rule,selected_epochs,model
loso_s2,2,20260926,flagged,4,1,4,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,4,2,0,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,4,3,0,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,4,4,0,mean_rank,13,EEGNet
loso_s3,3,20260924,all,1,1,87,mean_rank,10,EEGNet
loso_s3,3,20260924,all,1,2,1,mean_rank,10,EEGNet
loso_s3,3,20260924,all,1,3,29,mean_rank,10,EEGNet
loso_s3,3,20260924,all,1,4,27,mean_rank,10,EEGNet
loso_s3,3,20260924,all,2,1,9,mean_rank,10,EEGNet
loso_s3,3,20260924,all,2,2,78,mean_rank,10,EEGNet
loso_s3,3,20260924,all,2,3,36,mean_rank,10,EEGNet
loso_s3,3,20260924,all,2,4,21,mean_rank,10,EEGNet
loso_s3,3,20260924,all,3,1,10,mean_rank,10,EEGNet
loso_s3,3,20260924,all,3,2,8,mean_rank,10,EEGNet
loso_s3,3,20260924,all,3,3,111,mean_rank,10,EEGNet
loso_s3,3,20260924,all,3,4,15,mean_rank,10,EEGNet
loso_s3,3,20260924,all,4,1,0,mean_rank,10,EEGNet
loso_s3,3,20260924,all,4,2,3,mean_rank,10,EEGNet
loso_s3,3,20260924,all,4,3,59,mean_rank,10,EEGNet
loso_s3,3,20260924,all,4,4,82,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,1,1,83,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,1,2,1,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,1,3,27,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,1,4,25,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,2,1,9,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,2,2,74,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,2,3,34,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,2,4,21,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,3,1,9,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,3,2,8,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,3,3,104,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,3,4,13,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,4,1,0,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,4,2,3,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,4,3,53,mean_rank,10,EEGNet
loso_s3,3,20260924,unflagged,4,4,79,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,1,1,4,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,1,2,0,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,1,3,2,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,1,4,2,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,2,1,0,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,2,2,4,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,2,3,2,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,2,4,0,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,3,1,1,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,3,2,0,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,3,3,7,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,3,4,2,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,4,1,0,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,4,2,0,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,4,3,6,mean_rank,10,EEGNet
loso_s3,3,20260924,flagged,4,4,3,mean_rank,10,EEGNet
loso_s3,3,20260925,all,1,1,83,mean_rank,10,EEGNet
loso_s3,3,20260925,all,1,2,2,mean_rank,10,EEGNet
loso_s3,3,20260925,all,1,3,3,mean_rank,10,EEGNet
loso_s3,3,20260925,all,1,4,56,mean_rank,10,EEGNet
loso_s3,3,20260925,all,2,1,12,mean_rank,10,EEGNet
loso_s3,3,20260925,all,2,2,76,mean_rank,10,EEGNet
loso_s3,3,20260925,all,2,3,5,mean_rank,10,EEGNet
loso_s3,3,20260925,all,2,4,51,mean_rank,10,EEGNet
loso_s3,3,20260925,all,3,1,19,mean_rank,10,EEGNet
loso_s3,3,20260925,all,3,2,12,mean_rank,10,EEGNet
loso_s3,3,20260925,all,3,3,46,mean_rank,10,EEGNet
loso_s3,3,20260925,all,3,4,67,mean_rank,10,EEGNet
loso_s3,3,20260925,all,4,1,1,mean_rank,10,EEGNet
loso_s3,3,20260925,all,4,2,1,mean_rank,10,EEGNet
loso_s3,3,20260925,all,4,3,2,mean_rank,10,EEGNet
loso_s3,3,20260925,all,4,4,140,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,1,1,79,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,1,2,2,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,1,3,3,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,1,4,52,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,2,1,12,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,2,2,72,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,2,3,5,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,2,4,49,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,3,1,16,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,3,2,12,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,3,3,44,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,3,4,62,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,4,1,1,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,4,2,1,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,4,3,2,mean_rank,10,EEGNet
loso_s3,3,20260925,unflagged,4,4,131,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,1,1,4,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,1,2,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,1,3,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,1,4,4,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,2,1,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,2,2,4,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,2,3,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,2,4,2,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,3,1,3,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,3,2,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,3,3,2,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,3,4,5,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,4,1,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,4,2,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,4,3,0,mean_rank,10,EEGNet
loso_s3,3,20260925,flagged,4,4,9,mean_rank,10,EEGNet
loso_s3,3,20260926,all,1,1,51,mean_rank,10,EEGNet
