fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s5,5,full,,20260924,17,mean_rank,6,1.138507828116417,
loso_s5,5,full,,20260924,17,mean_rank,7,1.100855867067973,
loso_s5,5,full,,20260924,17,mean_rank,8,1.0894846792022388,
loso_s5,5,full,,20260924,17,mean_rank,9,1.0818152560128107,
loso_s5,5,full,,20260924,17,mean_rank,10,1.0614076836241615,
loso_s5,5,full,,20260924,17,mean_rank,11,1.0511715412139893,
loso_s5,5,full,,20260924,17,mean_rank,12,1.0332522359159255,
loso_s5,5,full,,20260924,17,mean_rank,13,1.0193864678343136,
loso_s5,5,full,,20260924,17,mean_rank,14,1.0166610735985968,
loso_s5,5,full,,20260924,17,mean_rank,15,1.0056313400467236,
loso_s5,5,full,,20260924,17,mean_rank,16,0.9787099700835016,
loso_s5,5,full,,20260924,17,mean_rank,17,0.9737652300132644,
loso_s5,5,full,,20260925,17,mean_rank,1,1.3726530869801838,
loso_s5,5,full,,20260925,17,mean_rank,2,1.2967436164617538,
loso_s5,5,full,,20260925,17,mean_rank,3,1.219214379787445,
loso_s5,5,full,,20260925,17,mean_rank,4,1.1549626597099834,
loso_s5,5,full,,20260925,17,mean_rank,5,1.1220845133066175,
loso_s5,5,full,,20260925,17,mean_rank,6,1.087243364916907,
loso_s5,5,full,,20260925,17,mean_rank,7,1.0704793623752065,
loso_s5,5,full,,20260925,17,mean_rank,8,1.0558836054470804,
loso_s5,5,full,,20260925,17,mean_rank,9,1.0335151420699225,
loso_s5,5,full,,20260925,17,mean_rank,10,1.0247952631778188,
loso_s5,5,full,,20260925,17,mean_rank,11,1.0080382178227107,
loso_s5,5,full,,20260925,17,mean_rank,12,1.003533919652303,
loso_s5,5,full,,20260925,17,mean_rank,13,1.009669257534875,
loso_s5,5,full,,20260925,17,mean_rank,14,0.988554330335723,
loso_s5,5,full,,20260925,17,mean_rank,15,0.990632675588131,
loso_s5,5,full,,20260925,17,mean_rank,16,0.9755372802416484,
loso_s5,5,full,,20260925,17,mean_rank,17,0.964375442928738,
loso_s5,5,full,,20260926,17,mean_rank,1,1.375540354185634,
loso_s5,5,full,,20260926,17,mean_rank,2,1.3131470945146348,
loso_s5,5,full,,20260926,17,mean_rank,3,1.210620027449396,
loso_s5,5,full,,20260926,17,mean_rank,4,1.1566529273986816,
loso_s5,5,full,,20260926,17,mean_rank,5,1.1238585834701855,
loso_s5,5,full,,20260926,17,mean_rank,6,1.09564028845893,
loso_s5,5,full,,20260926,17,mean_rank,7,1.0516223551498518,
loso_s5,5,full,,20260926,17,mean_rank,8,1.0397057582934697,
loso_s5,5,full,,20260926,17,mean_rank,9,1.019270397722721,
loso_s5,5,full,,20260926,17,mean_rank,10,1.0087507052554026,
loso_s5,5,full,,20260926,17,mean_rank,11,1.0025712533129587,
loso_s5,5,full,,20260926,17,mean_rank,12,0.9871004861262108,
loso_s5,5,full,,20260926,17,mean_rank,13,0.9866014495491982,
loso_s5,5,full,,20260926,17,mean_rank,14,0.9713843257890808,
loso_s5,5,full,,20260926,17,mean_rank,15,0.971095294588142,
loso_s5,5,full,,20260926,17,mean_rank,16,0.9684298833211265,
loso_s5,5,full,,20260926,17,mean_rank,17,0.9512663028306432,
loso_s6,6,full,,20260924,15,mean_rank,1,1.3741931286123064,
loso_s6,6,full,,20260924,15,mean_rank,2,1.3269264499346416,
loso_s6,6,full,,20260924,15,mean_rank,3,1.2808943175607257,
